gene_id,01B_13_1.fq.gz,01B_33_1.fq.gz,043_14_1.fq.gz,043_33_1.fq.gz,043_3_1.fq.gz,250_14_1.fq.gz,250_34_1.fq.gz,250_4_1.fq.gz
ENSG00000271264.1|MZT1P1,0,0,0,0,0,0,0,0
ENSG00000280113.2|ENSG00000280113,0,0,0,0,0,0,0,0
ENSG00000178585.15|CTNNBIP1,14270,12537,13482,14601,15373,16512,15350,17328
ENSG00000285701.1|ENSG00000285701,0,0,0,0,0,0,0,0
ENSG00000228150.1|ENSG00000228150,0,5,5,9,10,0,0,0
ENSG00000283611.2|TMEM274P,0,0,0,0,0,0,0,0
ENSG00000265521.1|MIR5697,0,0,0,0,0,0,0,0
ENSG00000241326.1|ENSG00000241326,0,1,0,0,0,0,0,0
ENSG00000162444.12|RBP7,0,0,8,6,28,13,9,23
ENSG00000130939.20|UBE4B,19414,19246,20733,23755,22404,22512,23166,23912
ENSG00000224340.1|ENSG00000224340,0,0,0,0,0,0,0,0
ENSG00000233623.2|PGAM1P11,0,0,1,2,0,0,0,0
ENSG00000264881.1|ENSG00000264881,0,0,2,0,0,0,0,0
ENSG00000054523.19|KIF1B,107906,144271,198197,181154,63544,168377,175771,70123
ENSG00000199562.1|RNU6-37P,0,0,5,0,2,0,0,0
ENSG00000284735.1|ENSG00000284735,11,22,32,14,0,6,22,8
ENSG00000284642.1|ENSG00000284642,664,527,671,448,283,236,364,196
ENSG00000142655.13|PEX14,5317,5254,4007,5544,6233,5496,6097,6494
ENSG00000287727.1|ENSG00000287727,0,0,0,0,0,0,0,0
ENSG00000243267.3|RN7SL614P,0,3,1,0,2,0,2,0
ENSG00000130940.15|CASZ1,1188,1215,2677,2780,3582,1582,2056,2298
ENSG00000225158.2|HSPE1P24,0,0,0,0,0,0,0,0
ENSG00000175262.14|C1orf127,0,0,0,0,9,0,0,4
ENSG00000215785.2|CFL1P6,0,0,0,0,0,0,0,0
ENSG00000120948.19|TARDBP,29416,24194,34228,25934,43546,30534,26316,36486
ENSG00000009724.17|MASP2,8,47,26,2,0,5,9,0
ENSG00000171824.14|EXOSC10,9901,9020,9660,7526,14708,10117,7327,14941
ENSG00000230337.2|EXOSC10-AS1,11,0,13,4,33,3,24,24
ENSG00000198793.13|MTOR,16614,18133,25971,21225,18720,23941,20515,21338
ENSG00000225602.5|MTOR-AS1,0,0,0,1,0,0,0,0
ENSG00000253086.1|RNU6-537P,0,0,0,0,0,0,0,0
ENSG00000171819.5|ANGPTL7,3,0,11,2,13,0,3,3
ENSG00000207451.1|RNU6-291P,0,0,0,0,0,0,0,0
ENSG00000238173.1|RPL39P6,0,0,0,0,0,0,0,0
ENSG00000238199.1|UBE2V2P3,0,0,0,0,0,0,0,0
ENSG00000284652.1|ENSG00000284652,35,49,54,31,34,61,53,31
ENSG00000171612.7|SLC25A33,3144,2683,3334,3437,4130,2177,2377,2357
ENSG00000231181.1|ENSG00000231181,3,2,23,4,3,0,9,6
ENSG00000188807.13|TMEM201,7526,6058,7407,6944,12145,7224,6457,11828
ENSG00000231789.3|PIK3CD-AS2,114,83,113,63,237,85,104,293
ENSG00000171603.18|CLSTN1,97370,110573,105991,134429,86513,113756,118630,82656
ENSG00000223989.1|ENSG00000223989,4,5,5,3,5,6,7,2
ENSG00000162441.12|LZIC,14095,11869,14940,12784,11441,13800,12036,8845
ENSG00000173614.14|NMNAT1,1341,1316,1536,1693,2538,1760,1702,2397
ENSG00000202415.1|RN7SKP269,2,3,2,10,2,6,2,2
ENSG00000201746.1|RNU6-828P,1,0,2,0,0,0,0,0
ENSG00000264501.2|RN7SL731P,1,1,1,1,1,1,1,1
ENSG00000142657.21|PGD,90515,83488,79829,91038,136915,90663,89581,111562
ENSG00000271989.1|ENSG00000271989,3,6,3,3,18,9,4,45
ENSG00000251503.8|CENPS-CORT,242,164,170,142,639,45,61,136
ENSG00000175279.22|CENPS,1081,920,815,685,2612,1027,834,1883
ENSG00000241563.4|CORT,64,46,25,10,27,21,14,61
ENSG00000160049.12|DFFA,10305,10014,14356,14106,13218,15883,16196,13857
ENSG00000203469.2|ENSG00000203469,3,2,5,5,3,6,4,3
ENSG00000272078.1|ENSG00000272078,11,20,35,46,68,22,54,32
ENSG00000116649.10|SRM,13486,10965,8775,10822,17506,10648,9460,16969
ENSG00000226849.1|ENSG00000226849,72,51,153,55,19,34,71,38
ENSG00000120942.14|UBIAD1,7941,7529,7350,8310,9016,8401,8650,10308
ENSG00000284646.1|ENSG00000284646,0,0,0,0,0,0,0,0
ENSG00000224338.2|MTCYBP45,0,0,0,0,0,0,3,0
ENSG00000235643.2|LINC01647,0,0,0,0,0,6,6,0
ENSG00000284708.1|ENSG00000284708,0,0,0,0,0,0,0,0
ENSG00000116661.11|FBXO2,1644,843,875,721,489,1323,917,433
ENSG00000116663.11|FBXO6,911,834,506,831,401,755,709,371
ENSG00000177674.16|AGTRAP,1399,1035,1567,1070,7696,1476,1031,5453
